Scholarship_ID,Scholarship_Name,Amount,State,Category,Batch,Eligibility_Caste,Eligibility_Gender,Min_Percentage_Required,Course_Applicable,Application_Start_Date,Application_Deadline,Contact_Email
SCH518044,State Women-specific Scholarship for Engineering,33220,Bihar,Women-specific,2024,All,Female,70,Engineering,2025-04-14,2025-07-05,contact@biharscholarships.gov.in
SCH370667,Private Minority Scholarship for Arts,25086,Bihar,Minority,2026,OBC,All,78,Arts,2025-04-04,2025-06-11,contact@biharscholarships.gov.in
SCH947576,Private Merit-based Scholarship for Arts,90589,Uttar Pradesh,Merit-based,2023,General,All,90,Science,2025-04-03,2025-05-20,contact@uttarpradeshscholarships.gov.in
SCH247476,Private Sports Scholarship for Any,15484,Rajasthan,Sports,2024,All,All,78,Engineering,2025-05-06,2025-06-06,contact@rajasthanscholarships.gov.in
SCH838084,National Merit-based Scholarship for Any,58015,Gujarat,Merit-based,2023,All,Male,93,Science,2025-03-30,2025-05-23,contact@gujaratscholarships.gov.in
SCH701538,State Minority Scholarship for Engineering,42612,Rajasthan,Minority,2025,ST,Female,91,Arts,2025-03-15,2025-05-17,contact@rajasthanscholarships.gov.in
SCH95343,National Merit-based Scholarship for Any,34385,Karnataka,Merit-based,2026,All,Male,66,Arts,2025-04-07,2025-06-09,contact@karnatakascholarships.gov.in
SCH407332,Private Need-based Scholarship for Arts,74382,Uttar Pradesh,Need-based,2024,General,Female,61,Any,2025-03-19,2025-04-25,contact@uttarpradeshscholarships.gov.in
SCH22598,Private Merit-based Scholarship for Arts,97535,Uttar Pradesh,Merit-based,2023,All,All,68,Arts,2025-03-29,2025-06-12,contact@uttarpradeshscholarships.gov.in
SCH144897,Private Women-specific Scholarship for Any,46792,Haryana,Women-specific,2025,All,Male,57,Medical,2025-03-18,2025-06-06,contact@haryanascholarships.gov.in
SCH81357,State Need-based Scholarship for Engineering,57303,Gujarat,Need-based,2025,ST,All,58,Commerce,2025-04-11,2025-06-16,contact@gujaratscholarships.gov.in
SCH714224,State Merit-based Scholarship for Science,72739,Bihar,Merit-based,2026,All,Male,58,Arts,2025-04-09,2025-06-04,contact@biharscholarships.gov.in
SCH696809,State Research Scholarship for Any,321245,Bihar,Research,2024,OBC,Female,82,Engineering,2025-03-29,2025-05-06,contact@biharscholarships.gov.in
SCH37648,National Sports Scholarship for Arts,15790,Delhi,Sports,2024,SC,All,68,Engineering,2025-03-17,2025-05-06,contact@delhischolarships.gov.in
SCH621440,Private Need-based Scholarship for Commerce,45972,Kerala,Need-based,2025,All,All,55,Commerce,2025-03-15,2025-05-24,contact@keralascholarships.gov.in
SCH292527,Private Sports Scholarship for Medical,16219,Haryana,Sports,2025,All,Male,51,Engineering,2025-04-18,2025-06-26,contact@haryanascholarships.gov.in
SCH123292,Private Women-specific Scholarship for Arts,47672,Assam,Women-specific,2026,All,All,51,Science,2025-03-20,2025-06-07,contact@assamscholarships.gov.in
SCH2418,State Women-specific Scholarship for Science,21048,Maharashtra,Women-specific,2026,SC,Female,54,Any,2025-04-27,2025-07-17,contact@maharashtrascholarships.gov.in
SCH489306,State Need-based Scholarship for Science,73471,Assam,Need-based,2025,All,Male,70,Any,2025-04-05,2025-05-18,contact@assamscholarships.gov.in
SCH209122,State Women-specific Scholarship for Science,13569,Punjab,Women-specific,2023,SC,Male,79,Engineering,2025-04-24,2025-06-16,contact@punjabscholarships.gov.in
SCH75326,National Research Scholarship for Medical,100757,Kerala,Research,2026,All,Female,65,Medical,2025-03-10,2025-04-27,contact@keralascholarships.gov.in
SCH57113,Private Sports Scholarship for Arts,17440,Punjab,Sports,2026,All,Female,81,Arts,2025-04-24,2025-06-03,contact@punjabscholarships.gov.in
SCH760479,National Merit-based Scholarship for Science,76249,West Bengal,Merit-based,2024,All,Female,53,Engineering,2025-04-05,2025-05-20,contact@westbengalscholarships.gov.in
SCH405744,Private Research Scholarship for Any,402594,Maharashtra,Research,2023,General,Female,58,Arts,2025-04-06,2025-05-24,contact@maharashtrascholarships.gov.in
SCH774059,State Research Scholarship for Engineering,260020,Rajasthan,Research,2024,SC,All,68,Engineering,2025-03-10,2025-05-15,contact@rajasthanscholarships.gov.in
SCH456267,State Sports Scholarship for Commerce,23331,Tamil Nadu,Sports,2023,OBC,Male,75,Arts,2025-04-28,2025-07-06,contact@tamilnaduscholarships.gov.in
SCH39967,State Sports Scholarship for Medical,18045,Punjab,Sports,2026,All,Male,52,Engineering,2025-04-14,2025-06-15,contact@punjabscholarships.gov.in
SCH736383,State Women-specific Scholarship for Science,39034,Gujarat,Women-specific,2024,SC,All,70,Medical,2025-04-05,2025-05-14,contact@gujaratscholarships.gov.in
SCH311685,Private Sports Scholarship for Arts,43910,Tamil Nadu,Sports,2026,All,Female,80,Engineering,2025-03-28,2025-05-29,contact@tamilnaduscholarships.gov.in
SCH197545,Private Minority Scholarship for Engineering,32298,Rajasthan,Minority,2023,All,Female,66,Any,2025-04-13,2025-06-01,contact@rajasthanscholarships.gov.in
SCH957513,National Women-specific Scholarship for Commerce,36486,Karnataka,Women-specific,2026,OBC,All,65,Engineering,2025-03-17,2025-05-19,contact@karnatakascholarships.gov.in
SCH153516,National Need-based Scholarship for Science,51116,Delhi,Need-based,2026,OBC,Female,82,Commerce,2025-04-02,2025-05-11,contact@delhischolarships.gov.in
SCH227821,Private Women-specific Scholarship for Engineering,14049,West Bengal,Women-specific,2025,ST,All,74,Arts,2025-04-09,2025-05-22,contact@westbengalscholarships.gov.in
SCH958230,Private Research Scholarship for Arts,336404,Haryana,Research,2025,All,Female,62,Medical,2025-03-29,2025-06-10,contact@haryanascholarships.gov.in
SCH137154,State Sports Scholarship for Medical,24504,Kerala,Sports,2024,ST,Female,80,Arts,2025-04-25,2025-06-12,contact@keralascholarships.gov.in
SCH234537,National Minority Scholarship for Commerce,49343,Kerala,Minority,2026,SC,Male,68,Engineering,2025-04-10,2025-06-03,contact@keralascholarships.gov.in
SCH735255,National Women-specific Scholarship for Arts,33991,Maharashtra,Women-specific,2026,OBC,Male,84,Arts,2025-04-17,2025-06-02,contact@maharashtrascholarships.gov.in
SCH73933,National Need-based Scholarship for Commerce,86917,Kerala,Need-based,2023,All,Male,90,Medical,2025-03-22,2025-05-06,contact@keralascholarships.gov.in
SCH646430,State Merit-based Scholarship for Arts,71918,Assam,Merit-based,2024,General,All,60,Science,2025-03-13,2025-05-25,contact@assamscholarships.gov.in
SCH502331,Private Research Scholarship for Medical,446315,West Bengal,Research,2025,General,Male,91,Commerce,2025-03-25,2025-05-14,contact@westbengalscholarships.gov.in
SCH577902,Private Sports Scholarship for Any,7444,Karnataka,Sports,2024,ST,Male,52,Science,2025-05-04,2025-07-31,contact@karnatakascholarships.gov.in
SCH501677,Private Need-based Scholarship for Arts,14910,West Bengal,Need-based,2023,SC,Female,79,Any,2025-03-07,2025-04-25,contact@westbengalscholarships.gov.in
SCH844490,Private Need-based Scholarship for Science,45761,West Bengal,Need-based,2023,SC,Male,79,Any,2025-03-19,2025-06-08,contact@westbengalscholarships.gov.in
SCH255716,National Women-specific Scholarship for Engineering,27092,Kerala,Women-specific,2024,OBC,All,90,Science,2025-04-26,2025-06-13,contact@keralascholarships.gov.in
SCH188887,State Sports Scholarship for Engineering,31269,Telangana,Sports,2024,OBC,Female,70,Medical,2025-04-18,2025-05-24,contact@telanganascholarships.gov.in
SCH576113,State Minority Scholarship for Medical,34277,Andhra Pradesh,Minority,2025,SC,All,86,Engineering,2025-04-24,2025-06-10,contact@andhrapradeshscholarships.gov.in
SCH932193,State Women-specific Scholarship for Any,20486,Kerala,Women-specific,2023,ST,Female,60,Science,2025-03-10,2025-05-21,contact@keralascholarships.gov.in
SCH401667,National Women-specific Scholarship for Any,24335,Maharashtra,Women-specific,2024,OBC,Male,80,Medical,2025-03-30,2025-06-07,contact@maharashtrascholarships.gov.in
SCH928363,Private Women-specific Scholarship for Arts,32252,Uttar Pradesh,Women-specific,2026,All,All,63,Medical,2025-04-20,2025-06-24,contact@uttarpradeshscholarships.gov.in
SCH19093,State Sports Scholarship for Commerce,28709,Bihar,Sports,2023,General,All,82,Medical,2025-03-11,2025-06-07,contact@biharscholarships.gov.in
SCH58877,State Need-based Scholarship for Commerce,67912,Gujarat,Need-based,2024,All,Female,55,Commerce,2025-03-14,2025-05-26,contact@gujaratscholarships.gov.in
SCH696893,State Merit-based Scholarship for Medical,77272,Uttar Pradesh,Merit-based,2023,All,Female,93,Arts,2025-04-02,2025-05-31,contact@uttarpradeshscholarships.gov.in
SCH898744,State Research Scholarship for Engineering,441016,Andhra Pradesh,Research,2023,General,Female,72,Any,2025-03-20,2025-05-26,contact@andhrapradeshscholarships.gov.in
SCH833389,National Sports Scholarship for Engineering,35937,Bihar,Sports,2026,OBC,Male,91,Any,2025-03-09,2025-04-26,contact@biharscholarships.gov.in
SCH8667,State Minority Scholarship for Science,29739,Telangana,Minority,2024,SC,Male,61,Commerce,2025-03-31,2025-05-05,contact@telanganascholarships.gov.in
SCH585999,National Sports Scholarship for Any,19594,Tamil Nadu,Sports,2023,SC,Female,93,Any,2025-04-29,2025-05-29,contact@tamilnaduscholarships.gov.in
SCH868346,State Sports Scholarship for Medical,21220,Telangana,Sports,2024,SC,Male,57,Engineering,2025-04-05,2025-05-27,contact@telanganascholarships.gov.in
SCH823585,National Sports Scholarship for Medical,18505,Telangana,Sports,2023,ST,All,93,Any,2025-03-11,2025-04-16,contact@telanganascholarships.gov.in
SCH622044,Private Need-based Scholarship for Engineering,62725,Assam,Need-based,2024,General,Male,82,Arts,2025-04-04,2025-05-18,contact@assamscholarships.gov.in
SCH72986,Private Women-specific Scholarship for Arts,42845,Karnataka,Women-specific,2025,OBC,Female,59,Any,2025-04-14,2025-07-02,contact@karnatakascholarships.gov.in
SCH413665,State Research Scholarship for Arts,81959,Karnataka,Research,2024,ST,All,81,Engineering,2025-04-11,2025-07-10,contact@karnatakascholarships.gov.in
SCH683970,Private Women-specific Scholarship for Science,39371,Rajasthan,Women-specific,2026,ST,Male,69,Science,2025-03-27,2025-06-09,contact@rajasthanscholarships.gov.in
SCH647411,State Sports Scholarship for Medical,19768,Haryana,Sports,2024,ST,Male,85,Science,2025-03-26,2025-06-18,contact@haryanascholarships.gov.in
SCH535578,Private Sports Scholarship for Medical,30455,Telangana,Sports,2024,SC,All,55,Science,2025-03-22,2025-05-07,contact@telanganascholarships.gov.in
SCH962251,Private Merit-based Scholarship for Any,34966,Rajasthan,Merit-based,2026,All,All,52,Engineering,2025-03-10,2025-04-26,contact@rajasthanscholarships.gov.in
SCH603507,Private Sports Scholarship for Any,41624,Himachal Pradesh,Sports,2024,SC,Female,50,Medical,2025-03-20,2025-05-19,contact@himachalpradeshscholarships.gov.in
SCH436406,National Women-specific Scholarship for Any,36386,Himachal Pradesh,Women-specific,2024,ST,Male,85,Arts,2025-05-04,2025-06-18,contact@himachalpradeshscholarships.gov.in
SCH678437,State Research Scholarship for Commerce,390116,Maharashtra,Research,2025,SC,All,81,Science,2025-03-29,2025-05-17,contact@maharashtrascholarships.gov.in
SCH306571,State Women-specific Scholarship for Arts,18312,Delhi,Women-specific,2026,General,All,64,Any,2025-03-30,2025-05-19,contact@delhischolarships.gov.in
SCH882158,State Merit-based Scholarship for Commerce,86550,Gujarat,Merit-based,2026,SC,Male,62,Arts,2025-04-13,2025-06-28,contact@gujaratscholarships.gov.in
SCH362708,Private Research Scholarship for Medical,311777,Karnataka,Research,2025,SC,Female,91,Any,2025-04-11,2025-06-21,contact@karnatakascholarships.gov.in
SCH880012,National Research Scholarship for Any,466796,West Bengal,Research,2024,All,Female,61,Commerce,2025-03-29,2025-05-08,contact@westbengalscholarships.gov.in
SCH77115,National Sports Scholarship for Engineering,48792,Assam,Sports,2023,ST,Male,90,Medical,2025-03-10,2025-05-27,contact@assamscholarships.gov.in
SCH221090,National Women-specific Scholarship for Engineering,19334,Bihar,Women-specific,2025,General,All,90,Any,2025-04-08,2025-06-06,contact@biharscholarships.gov.in
SCH286314,State Women-specific Scholarship for Engineering,5433,West Bengal,Women-specific,2026,General,Male,83,Any,2025-04-10,2025-06-14,contact@westbengalscholarships.gov.in
SCH543176,State Sports Scholarship for Engineering,37913,Kerala,Sports,2026,OBC,Male,56,Commerce,2025-04-28,2025-07-11,contact@keralascholarships.gov.in
SCH415958,National Need-based Scholarship for Commerce,79003,Gujarat,Need-based,2025,SC,Female,55,Arts,2025-03-23,2025-06-13,contact@gujaratscholarships.gov.in
SCH823591,Private Research Scholarship for Medical,415552,Tamil Nadu,Research,2023,General,Male,75,Science,2025-03-21,2025-05-09,contact@tamilnaduscholarships.gov.in
SCH38141,State Sports Scholarship for Engineering,46729,Tamil Nadu,Sports,2024,General,Female,77,Any,2025-03-07,2025-05-20,contact@tamilnaduscholarships.gov.in
SCH635467,National Sports Scholarship for Commerce,7788,Punjab,Sports,2026,SC,Male,54,Any,2025-03-21,2025-05-03,contact@punjabscholarships.gov.in
SCH578640,Private Sports Scholarship for Any,7156,Kerala,Sports,2025,General,Male,87,Medical,2025-03-18,2025-06-15,contact@keralascholarships.gov.in
SCH753895,State Merit-based Scholarship for Medical,83919,Tamil Nadu,Merit-based,2026,All,Female,74,Any,2025-03-22,2025-05-27,contact@tamilnaduscholarships.gov.in
SCH676845,Private Women-specific Scholarship for Engineering,37819,Gujarat,Women-specific,2023,General,Female,64,Engineering,2025-04-23,2025-06-14,contact@gujaratscholarships.gov.in
SCH581598,Private Sports Scholarship for Commerce,30998,Punjab,Sports,2023,SC,Female,81,Medical,2025-04-25,2025-06-14,contact@punjabscholarships.gov.in
SCH953893,State Sports Scholarship for Science,17172,Rajasthan,Sports,2026,General,All,68,Medical,2025-04-19,2025-06-25,contact@rajasthanscholarships.gov.in
SCH970135,State Merit-based Scholarship for Medical,59807,Bihar,Merit-based,2024,ST,Female,73,Engineering,2025-04-21,2025-07-10,contact@biharscholarships.gov.in
SCH177299,State Merit-based Scholarship for Science,57175,Bihar,Merit-based,2023,OBC,Male,61,Science,2025-04-24,2025-06-10,contact@biharscholarships.gov.in
SCH949360,Private Sports Scholarship for Commerce,31741,Uttar Pradesh,Sports,2023,SC,All,55,Commerce,2025-03-13,2025-04-13,contact@uttarpradeshscholarships.gov.in
SCH296400,National Research Scholarship for Arts,266955,Punjab,Research,2023,All,Male,86,Commerce,2025-03-31,2025-06-18,contact@punjabscholarships.gov.in
SCH167781,State Women-specific Scholarship for Medical,14099,Haryana,Women-specific,2025,ST,Male,54,Medical,2025-03-24,2025-05-12,contact@haryanascholarships.gov.in
SCH233697,State Minority Scholarship for Arts,36734,Telangana,Minority,2025,SC,Male,90,Science,2025-04-26,2025-05-30,contact@telanganascholarships.gov.in
SCH928093,National Research Scholarship for Medical,209728,Himachal Pradesh,Research,2026,SC,All,74,Arts,2025-03-07,2025-06-05,contact@himachalpradeshscholarships.gov.in
SCH744938,State Minority Scholarship for Any,43954,Uttar Pradesh,Minority,2025,All,All,62,Science,2025-03-15,2025-05-03,contact@uttarpradeshscholarships.gov.in
SCH156126,State Need-based Scholarship for Arts,48200,Punjab,Need-based,2026,All,Male,70,Science,2025-04-23,2025-07-06,contact@punjabscholarships.gov.in
SCH374687,State Research Scholarship for Engineering,345620,Kerala,Research,2024,All,Male,79,Any,2025-03-19,2025-05-25,contact@keralascholarships.gov.in
SCH466590,State Research Scholarship for Any,86259,Himachal Pradesh,Research,2026,ST,Male,90,Arts,2025-04-28,2025-07-21,contact@himachalpradeshscholarships.gov.in
SCH382771,Private Minority Scholarship for Medical,32730,Karnataka,Minority,2023,ST,All,80,Commerce,2025-04-26,2025-06-19,contact@karnatakascholarships.gov.in
SCH563450,Private Sports Scholarship for Any,32413,Tamil Nadu,Sports,2025,All,All,90,Engineering,2025-04-10,2025-05-12,contact@tamilnaduscholarships.gov.in
SCH913612,Private Need-based Scholarship for Any,56531,Delhi,Need-based,2023,All,All,93,Any,2025-03-17,2025-05-27,contact@delhischolarships.gov.in
SCH209314,State Minority Scholarship for Engineering,5691,Tamil Nadu,Minority,2024,All,All,83,Commerce,2025-03-13,2025-04-28,contact@tamilnaduscholarships.gov.in
SCH461082,State Research Scholarship for Science,292778,Karnataka,Research,2024,SC,Male,80,Engineering,2025-04-25,2025-07-07,contact@karnatakascholarships.gov.in
SCH108611,National Research Scholarship for Engineering,485849,Maharashtra,Research,2024,SC,Female,71,Science,2025-05-06,2025-07-21,contact@maharashtrascholarships.gov.in
SCH875724,State Sports Scholarship for Arts,36205,Himachal Pradesh,Sports,2026,SC,Male,69,Engineering,2025-03-13,2025-05-10,contact@himachalpradeshscholarships.gov.in
SCH264744,State Merit-based Scholarship for Any,24334,Delhi,Merit-based,2024,OBC,All,61,Commerce,2025-04-19,2025-07-09,contact@delhischolarships.gov.in
SCH658918,Private Minority Scholarship for Science,35281,Haryana,Minority,2026,OBC,Male,90,Any,2025-03-21,2025-06-10,contact@haryanascholarships.gov.in
SCH843133,National Research Scholarship for Any,371968,Telangana,Research,2026,All,Female,74,Engineering,2025-05-02,2025-06-13,contact@telanganascholarships.gov.in
SCH392247,State Need-based Scholarship for Any,18200,Himachal Pradesh,Need-based,2024,SC,Female,62,Science,2025-04-12,2025-05-18,contact@himachalpradeshscholarships.gov.in
SCH628505,Private Minority Scholarship for Science,39584,Delhi,Minority,2026,All,Female,87,Engineering,2025-04-16,2025-06-05,contact@delhischolarships.gov.in
SCH990262,State Minority Scholarship for Commerce,16306,Rajasthan,Minority,2025,All,All,55,Any,2025-04-28,2025-07-10,contact@rajasthanscholarships.gov.in
SCH851897,National Minority Scholarship for Medical,25013,Gujarat,Minority,2025,OBC,All,74,Science,2025-03-14,2025-04-24,contact@gujaratscholarships.gov.in
SCH842549,State Sports Scholarship for Science,17173,Gujarat,Sports,2024,All,Male,81,Arts,2025-04-07,2025-06-16,contact@gujaratscholarships.gov.in
SCH337099,State Need-based Scholarship for Science,91187,Gujarat,Need-based,2025,General,Female,58,Medical,2025-03-10,2025-06-03,contact@gujaratscholarships.gov.in
SCH427714,Private Sports Scholarship for Any,37438,Tamil Nadu,Sports,2026,ST,All,78,Science,2025-04-02,2025-06-14,contact@tamilnaduscholarships.gov.in
SCH154206,Private Merit-based Scholarship for Engineering,38905,Haryana,Merit-based,2025,OBC,All,68,Medical,2025-03-25,2025-04-26,contact@haryanascholarships.gov.in
SCH577771,Private Sports Scholarship for Science,41026,Uttar Pradesh,Sports,2023,SC,All,73,Commerce,2025-04-08,2025-05-15,contact@uttarpradeshscholarships.gov.in
SCH20541,State Women-specific Scholarship for Commerce,19322,Assam,Women-specific,2024,SC,Male,78,Arts,2025-04-03,2025-05-09,contact@assamscholarships.gov.in
SCH455312,State Merit-based Scholarship for Engineering,41056,Rajasthan,Merit-based,2025,All,All,77,Medical,2025-03-20,2025-06-09,contact@rajasthanscholarships.gov.in
SCH831277,National Need-based Scholarship for Engineering,84720,Gujarat,Need-based,2025,All,All,60,Arts,2025-03-29,2025-06-01,contact@gujaratscholarships.gov.in
SCH486089,Private Minority Scholarship for Arts,38712,Maharashtra,Minority,2023,OBC,Female,53,Arts,2025-05-03,2025-07-15,contact@maharashtrascholarships.gov.in
SCH556376,National Women-specific Scholarship for Medical,14584,Gujarat,Women-specific,2024,ST,Female,59,Commerce,2025-04-21,2025-06-10,contact@gujaratscholarships.gov.in
SCH317094,State Women-specific Scholarship for Science,34621,Kerala,Women-specific,2023,ST,All,67,Any,2025-03-11,2025-05-20,contact@keralascholarships.gov.in
SCH608866,State Research Scholarship for Arts,355112,Rajasthan,Research,2023,ST,All,92,Any,2025-03-07,2025-05-31,contact@rajasthanscholarships.gov.in
SCH512207,Private Merit-based Scholarship for Science,38551,Rajasthan,Merit-based,2024,ST,Female,70,Arts,2025-04-03,2025-06-24,contact@rajasthanscholarships.gov.in
SCH888417,Private Sports Scholarship for Medical,42102,Punjab,Sports,2025,General,Male,56,Any,2025-04-30,2025-06-30,contact@punjabscholarships.gov.in
SCH27975,National Merit-based Scholarship for Medical,67840,Uttar Pradesh,Merit-based,2026,OBC,All,58,Any,2025-04-05,2025-05-05,contact@uttarpradeshscholarships.gov.in
SCH335490,State Need-based Scholarship for Engineering,95798,Maharashtra,Need-based,2023,SC,All,91,Medical,2025-03-30,2025-05-15,contact@maharashtrascholarships.gov.in
SCH9445,Private Research Scholarship for Arts,430626,Assam,Research,2024,ST,All,55,Any,2025-04-20,2025-07-07,contact@assamscholarships.gov.in
SCH398261,National Merit-based Scholarship for Science,20215,Delhi,Merit-based,2024,All,All,78,Engineering,2025-03-15,2025-05-21,contact@delhischolarships.gov.in
SCH106529,State Women-specific Scholarship for Engineering,32676,Andhra Pradesh,Women-specific,2026,General,Male,74,Engineering,2025-04-20,2025-05-28,contact@andhrapradeshscholarships.gov.in
SCH228808,State Merit-based Scholarship for Arts,49223,Delhi,Merit-based,2024,OBC,Male,83,Commerce,2025-03-15,2025-05-08,contact@delhischolarships.gov.in
SCH866267,Private Sports Scholarship for Medical,33842,Andhra Pradesh,Sports,2024,OBC,Female,89,Any,2025-03-29,2025-06-13,contact@andhrapradeshscholarships.gov.in
SCH909273,National Need-based Scholarship for Engineering,28351,Uttar Pradesh,Need-based,2026,SC,Female,70,Medical,2025-04-24,2025-05-31,contact@uttarpradeshscholarships.gov.in
SCH727279,Private Minority Scholarship for Engineering,21263,Karnataka,Minority,2025,General,All,69,Medical,2025-04-11,2025-06-18,contact@karnatakascholarships.gov.in
SCH686908,State Women-specific Scholarship for Arts,47347,Himachal Pradesh,Women-specific,2024,ST,Female,57,Medical,2025-03-10,2025-05-29,contact@himachalpradeshscholarships.gov.in
SCH37023,Private Women-specific Scholarship for Engineering,39621,West Bengal,Women-specific,2025,SC,Male,74,Commerce,2025-05-02,2025-06-01,contact@westbengalscholarships.gov.in
SCH200730,Private Minority Scholarship for Any,16322,Telangana,Minority,2023,General,All,54,Engineering,2025-04-24,2025-06-23,contact@telanganascholarships.gov.in
SCH6325,National Need-based Scholarship for Engineering,62163,Kerala,Need-based,2026,ST,All,75,Engineering,2025-04-08,2025-05-26,contact@keralascholarships.gov.in
SCH257078,National Minority Scholarship for Arts,10178,Gujarat,Minority,2024,OBC,All,70,Science,2025-04-08,2025-07-05,contact@gujaratscholarships.gov.in
SCH109440,Private Minority Scholarship for Science,20639,Bihar,Minority,2023,ST,Male,79,Commerce,2025-03-10,2025-04-24,contact@biharscholarships.gov.in
SCH369672,Private Minority Scholarship for Any,48126,Assam,Minority,2023,General,All,58,Any,2025-04-23,2025-06-03,contact@assamscholarships.gov.in
SCH687385,State Need-based Scholarship for Arts,78551,Andhra Pradesh,Need-based,2025,OBC,Female,58,Any,2025-04-09,2025-06-28,contact@andhrapradeshscholarships.gov.in
SCH977896,National Women-specific Scholarship for Engineering,26955,Kerala,Women-specific,2025,All,Male,66,Any,2025-04-27,2025-06-23,contact@keralascholarships.gov.in
SCH190259,State Research Scholarship for Commerce,238808,Bihar,Research,2024,SC,Male,66,Engineering,2025-03-10,2025-05-10,contact@biharscholarships.gov.in
SCH65111,Private Need-based Scholarship for Commerce,10336,Delhi,Need-based,2023,OBC,Male,80,Arts,2025-03-09,2025-06-01,contact@delhischolarships.gov.in
SCH215841,National Need-based Scholarship for Engineering,82465,Tamil Nadu,Need-based,2026,OBC,Female,65,Science,2025-04-27,2025-07-24,contact@tamilnaduscholarships.gov.in
SCH248072,National Minority Scholarship for Commerce,29432,Punjab,Minority,2023,OBC,Male,83,Engineering,2025-03-14,2025-05-15,contact@punjabscholarships.gov.in
SCH225983,State Merit-based Scholarship for Arts,50723,Tamil Nadu,Merit-based,2026,General,Female,62,Arts,2025-03-27,2025-05-01,contact@tamilnaduscholarships.gov.in
SCH415378,Private Women-specific Scholarship for Medical,35403,Maharashtra,Women-specific,2026,OBC,All,84,Medical,2025-03-30,2025-06-05,contact@maharashtrascholarships.gov.in
SCH972521,State Merit-based Scholarship for Engineering,40539,Gujarat,Merit-based,2023,SC,Male,92,Science,2025-04-10,2025-06-01,contact@gujaratscholarships.gov.in
SCH551545,National Merit-based Scholarship for Commerce,41217,Maharashtra,Merit-based,2023,OBC,All,67,Engineering,2025-04-02,2025-06-02,contact@maharashtrascholarships.gov.in
SCH387419,Private Need-based Scholarship for Science,58823,Assam,Need-based,2023,All,Male,82,Medical,2025-04-05,2025-06-21,contact@assamscholarships.gov.in
SCH521484,Private Merit-based Scholarship for Commerce,18163,Tamil Nadu,Merit-based,2024,OBC,Female,66,Arts,2025-04-03,2025-06-14,contact@tamilnaduscholarships.gov.in
SCH703684,Private Women-specific Scholarship for Arts,25844,Tamil Nadu,Women-specific,2024,General,Male,58,Commerce,2025-04-04,2025-05-21,contact@tamilnaduscholarships.gov.in
SCH645113,National Need-based Scholarship for Medical,68925,Delhi,Need-based,2026,General,All,72,Medical,2025-04-05,2025-05-25,contact@delhischolarships.gov.in
SCH95468,State Minority Scholarship for Arts,12858,Uttar Pradesh,Minority,2025,All,Male,63,Arts,2025-03-12,2025-04-21,contact@uttarpradeshscholarships.gov.in
SCH937799,Private Merit-based Scholarship for Medical,56627,Gujarat,Merit-based,2023,SC,Female,61,Engineering,2025-04-01,2025-06-02,contact@gujaratscholarships.gov.in
SCH859412,Private Research Scholarship for Any,338421,Tamil Nadu,Research,2026,General,Male,57,Engineering,2025-03-22,2025-04-27,contact@tamilnaduscholarships.gov.in
SCH479857,National Need-based Scholarship for Medical,62505,Assam,Need-based,2023,All,All,66,Engineering,2025-03-30,2025-06-11,contact@assamscholarships.gov.in
SCH65506,National Merit-based Scholarship for Any,68121,Andhra Pradesh,Merit-based,2023,SC,Male,52,Science,2025-04-27,2025-06-04,contact@andhrapradeshscholarships.gov.in
SCH386466,Private Need-based Scholarship for Science,61773,Assam,Need-based,2026,ST,Male,72,Medical,2025-04-07,2025-05-08,contact@assamscholarships.gov.in
SCH869135,State Minority Scholarship for Science,14740,Haryana,Minority,2024,SC,Female,76,Commerce,2025-03-09,2025-05-17,contact@haryanascholarships.gov.in
SCH670516,National Merit-based Scholarship for Arts,60202,West Bengal,Merit-based,2024,All,Male,90,Commerce,2025-03-15,2025-05-10,contact@westbengalscholarships.gov.in
SCH710963,Private Research Scholarship for Arts,301492,Andhra Pradesh,Research,2026,SC,All,82,Arts,2025-04-10,2025-06-29,contact@andhrapradeshscholarships.gov.in
SCH432270,National Minority Scholarship for Engineering,25897,Tamil Nadu,Minority,2023,SC,Male,80,Commerce,2025-04-14,2025-05-28,contact@tamilnaduscholarships.gov.in
SCH106775,National Sports Scholarship for Medical,11562,Rajasthan,Sports,2024,SC,All,53,Medical,2025-03-22,2025-06-02,contact@rajasthanscholarships.gov.in
SCH148285,National Minority Scholarship for Medical,20502,Tamil Nadu,Minority,2025,All,Male,95,Any,2025-04-13,2025-06-02,contact@tamilnaduscholarships.gov.in
SCH291081,Private Sports Scholarship for Medical,41903,Rajasthan,Sports,2026,All,Female,61,Science,2025-05-06,2025-06-17,contact@rajasthanscholarships.gov.in
SCH767480,National Merit-based Scholarship for Medical,88861,Assam,Merit-based,2026,General,Female,89,Medical,2025-03-21,2025-04-21,contact@assamscholarships.gov.in
SCH375586,Private Minority Scholarship for Medical,26206,Gujarat,Minority,2024,All,All,59,Engineering,2025-03-10,2025-04-10,contact@gujaratscholarships.gov.in
SCH905939,State Merit-based Scholarship for Any,96787,Rajasthan,Merit-based,2023,SC,Female,70,Medical,2025-04-01,2025-06-07,contact@rajasthanscholarships.gov.in
SCH93942,State Women-specific Scholarship for Any,36929,Haryana,Women-specific,2024,All,All,89,Arts,2025-04-17,2025-06-06,contact@haryanascholarships.gov.in
SCH631146,Private Women-specific Scholarship for Medical,29797,Karnataka,Women-specific,2025,OBC,Male,50,Any,2025-03-26,2025-06-10,contact@karnatakascholarships.gov.in
